,Release date,Film,Genre,Director,Cast
0,,,,,
1,Jan 1/Poush 24,Bagamati,Action,Sunny Kerala,Rajesh Hamal
2,Jan 15/Magh1,Fanko,Suspense,Shubarna Thapa,"Saugat Malla, Keki Adhikari, Dayahang Rai, Priyanka Karki"
3,Jan 15/Magh1,Kafal Pakyo,Melodrama,Sabitri Khatri,"Jiwan Luitel, Barsha Raut, Mukesh Acharya"
4,Jan 29/Magh 15,Pashupati Prasad,Social Satire,Dipendra K Khanal,"Khagendra Lamichhane, Barsha Siwakoti"
5,,,,,
6,Feb 5 /Magh 22,Kaifiyat,Melodrama,Dasharat Giri,"Nandita K.C, Nabin Shrestha, CP Poudel, Shankar Shahi Thakuri, Kishan Sunuwar, Sajana Thapa"
7,12 Feb/Magh 29,Classic (Nepali movie),Lovestory,Dinesh Raut,"Aaryan Sigdel, Namrata Shrestha, Dayahang Rai, Priyanka Karki"
8,12 Feb/Magh 29,Prem Geet (2016),"Love story, Comedy",,
9,"7 Falgun, Feb 19",The Soldier,Action,B.S.Balami,"Rajendra Chaudhary, Diwash Upreti, Jenisha KC"
10,,,,,
11,"21 Falgun, March 4",Dreams (2016 film),Lovestory,Diwakar Bhattarai,"Anmol K.C., Samragyee RL Shah"
12,,,,,
13,8 April/Chaitra 26,Nai navannu la 4,Family Drama,Bikash Raj Acharya,"Priyanka Karki, Paul Shah, Barsha Raut"
14,22 April /Baishakh 11,Baato muniko phool 2,Social satire,,
15,,,,,
16,27-May,Best Frenz Forever,Friendship,Utsav Thapaliya,"Saurav Chaudhary, Manish Neupane Sandip Ghimire, Pinky Sherpa, Sadhana Bhandari, Syaleen Manandhar, Prahik NeupaneInzamam Ali Khan"
17,May 27/Jesth 14,Dying Candle,"Drama, Family",Naresh Kumar,"Saugat Malla, Arpan Thapa, Srijana Subba"
18,,,,,
19,June 10 /Jesth 28,Gajalu,"Love story, Social satire",Hemraj Bc,"Anmol K.C., Shristi Shrestha, Gaurav Pahari"
20,24-Jun,Lukamari,Suspense,ShreeRam Dahal,"Saugat Malla, Karma Shakya, Rista Basnet, Subarna Karki"
21,,,,,
22,22-Jul,Ma ta timrooi hoon,Teen love/Family Drama,Shreeram Mahat,"Jyotsna Yogi, Aakash Shrestha"
23,,,,,
24,aug 5 /Shrawan 21,Ekpal,Love story,Raj Shakya,"Jenisha K.c, Ram Maharjan"
27,Aug 18 /Bhadra 2,Chapali height 2,Romantic Thriller,Dipendra K Khanal,"Ayushman Joshi, Paramita Rana, Mariska Pokharel"
28,,,,,
29,Sep 2/Bhadra 17,The Winner (2016),Action,Hikmat Bista,"Malina Joshi, Manchin Shakya, Mahesh Man Shrestha"
30,Sep 9/Bhadra 24,Chhakka Panja,Comedy,Deepa Shree Niraula,"Priyanka Karki, Deepak Raj Giri,  Jeetu Nepal, Kedar Ghimire, Buddhi Tamang, Shivahari Paudel, Barsha Raut and Namrata Sapkota"
31,Sep 16/Bhadra 31,Gaatho,Art,Suraj Bhusal,"Najir Hussain, Abhaya Baral, Namrata Shrestha"
32,23-Sep,Jhumkee,Suspense,Apil Bista,"Manoj RC, Malina Joshi, Rishma Gurung, Dayahang Rai,"
33,,,,,
34,,,,,
35,11-Nov,Junga Bahadur ko coat,Action,Aashish Bhetwal,"Bimlesh Adhikari, Anup Baral, Suchitra Acharya"
