,Title,Director,Cast,Genre
0,,,,
1,Jay Shree Daam,Biplop Upreti,"Amrit Dhungana, Binod Neupane, Pramod Agrahari, Jebicca Karki",Drama
2,Je Sukai Hos,"Umesh Gurung, Roshan Shrestha","Chanda Dahal, Sunil Katuwal, Umesh Gurung",Drama
3,Chauka Dau,Purnendu Kumar Jha,"Barsha Raut, Wilson Bikram Rai, Rabindra Jha, Santosh Panta",Comedy
4,Villain,Devendra Panday,"Nikhil Upreti, Shilpa Pokhrel, Nisha Adhikari, Kapil Khatri",Action
5,Garud Puran,Subash Koirala,"Karma Shakya, Najir Hussain, Prakash Ghimire",Comedy
6,Aarop,Amar Oli,"Kishor Khatiwada, Sanchita Luitel, Rajan Gahatraj",Action
7,Baina,Dil Prakash Yakso,"Ranjita Limbu, Subash Meche, Surbir Pandit, Uday Subba",Romance
8,Anaagat,Samten Bhutia,"Priyanka Karki, Arpan Thapa, Praween Khatiwada",Thriller
9,"FEB
",100 Kada 10,Ram Sharan Pathak,"Amrit Dhungana, Karuna Shrestha, Manoj Gajurel"
10,Gopi,Dipendra Lama,"Bipin Karki, Barsha Raut, Surakshya Panta, Ankeet Khadka",Drama
11,Ranveer,Govind Singh Bhandari,"Sushil Sitaula, Subeksha Khadka, Supushpa Bhatta, Prashant Tamrakar",Action
12,Summer Love,Muskan Dhakal,"Ashish Piya, Rewati Chetri, Suraj Singh Thakuri, Namrata Sapkota",Romance
13,Bulbul,Binod Paudel,"Swastima Khadka, Mukun Bhusal, Joes Pandey",Romance Comedy
14,Jadugar −2,Mahadev Tripathi,"Mahadev Tripathi,Surendra K.C., Shiva Shankar Rijal, Resham Firiri",Comedy
15,Rumalai Chha Chino,Dinesh Singh Thakuri,"Sushant Karki, Kishor Khatiwada, Sanchita Luitel, Rashmi Bhatta, Mithila Sharma",Action
16,Boyfriend,Madan Ghimire,"Mahima Silwal, Puskar Regmi, Saroj Khanal, Mohan Niraula",Romance
17,Fingerprint,Nabin Niraula,"Aayushma Karki, Deepak Tripathi, Sarita Lamichhane, Ramesh Budhathoki",Drama
18,"MAR
",Captain,Diwakar Bhattarai,"Anmol K.C., Sunil Thapa, Saroj Khanal, Prashant Tamrakar, Wilson Bikram Rai"
19,The Break Up,Hem Raj B.C.,"Aashirman DS Joshi, Shilpa Maskey, Raymon Das Shrestha, Itchya Karki, Saroj Khanal",Romance
20,Khaag,Manoj Pandit,"Prabin Khatiwada, Puskar Gurung, Aashant Sharma, Srijana Adhikari",Social Drama
21,Adalat,Dinesh Lingden,Sushma Karki,Drama
22,The Man from Kathmandu,Pema Dhondup,"Gulshan Grover, Hameed Sheikh, Anna Sharma, Karma Shakya, Neer Shah, Mithila Sharma, Paramita RL Rana",Action
23,Jani Najani,Basanta Adhikari,"Manish Shrestha, Sumi Moktan, Nirisha Basnet, Sunny Singh, Roshani K.C.",Romance
24,Kagaz Patra,Apil Bista,"Najir Hussain, Shilpa Maskey, Laxmi Bardewa, Sarita Giri, Bholaraj Sapkota",Comedy Drama
25,Saili,Ram Babu Gurung,"Gaurav Pahari, Menuka Pradhan, Dayahang Rai, Maotse Gurung, Prakash Ghimire, Aruna Karki",Romance
26,,,,
27,"APR
",Love Station,Ujwal Ghimire,"Pradeep Khadka, Jassita Gurung, Ramesh Budhathoki, Binod Paudel, Saroj Khanal"
28,Premnath,Ganesh Belbase,"Gajit Bista, Surbir Pandit, Ganesh Belbase, Kamal Gaule",Action
29,Jiwan Kanda Ki Phool,Binod Bista,"Sarika Ghimire, Rojita Buddhacharya",biographical film
30,Yatra: A Musical Vlog,Samrat Shakya,"Salin Man Bania,Salon Basnet,Jahanwi Basnet,Prakash Adhikari, Dhiren Shakya",Musical
31,A Mero Hajur 3,Jharana Thapa,"Anmol K.C., Suhana Thapa, Arpan Thapa",Romance
32,"MAY
",Jatrai Jatra,Pradeep Bhattarai,"Bipin Karki, Dayahang Rai, Rabindra Singh Baniya, Nischal Basnet"
33,Daal Bhat Tarkari,Sudan K.C.,"Hari Bansha Acharya, Madan Krishna Shrestha, Wilson Bikram Rai, Niruta Singh",Comedy
34,,,,
35,"15 August
",,Hajar Juni Samma,
36,"13 September
",,Password,
