,Title,Year,Genre,Director,Cast,Movie_id,cast_no,poster_url
0,Aama,1964,"Action, Drama",Hira Singh Khatri,"Shiva Shankar, Bhubhan Chand, Bhim Bahadur, Basundhara Bhusal",/title/tt1999819/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfhp2K3nOOEvzpiMuYDiy9wBs-z4GyN_SzQE39lZeYsfs1k4jT2jWyEJh56A&s
1,Maitighar,1966,"Drama, Musical",B.S. Thapa,"Mala Sinha, Chidambar Prasad Lohani, Tika Bhushan Dahal, Sunil Dutt",/title/tt7051562/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWSKnHs9dH_2kjP03o98gaGfmd8Sp8ev7C_6xzuFPZQkJUJ6Q0cm5Bx_rlZLc&s
2,Hijo Aaja Bholi,1968,Drama,Hira Singh Khatri,"Basundhara Bhusal, Bhubhan Chand, Shreedhar Khanal, Shanti Maskey",/title/tt8378014/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYULeGlvTkHns82rYSTG210TulgP0zIC52vjgZd-reEB3I53IQiGlkY7dM_YE&s
3,Parivartan,1971,Drama,Hira Singh Khatri,"Yagya Nath Ghimire, Rita Thapa, Neer Bikram Shah, Yadav Kharel",/title/tt8379858/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfhp2K3nOOEvzpiMuYDiy9wBs-z4GyN_SzQE39lZeYsfs1k4jT2jWyEJh56A&s
4,Man ko bandh,1973,Drama,Prakash Thapa,"Salyan K.C., Sushma Shahi, Neer Bikram Shah, Basundhara Bhusal",/title/tt1999922/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNT61MMYojeJhrULHIO5vNdSVesTLN7iI96DFD7fzeG6ekqsobMdIMDmdUjg&s
5,Kumari,1977,Drama,Prem Bahadur Basnet,"Salyan K.C., Chaitya Devi, Gautam Ratna Tuladhar, Keshav Manandhar",/title/tt1999911/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQuZuho4kCCBe74zf28eBmC_mKP7iJ_YCEaebrRzOoy0nVXo6J1l-P0UeBwCQ&s
6,Paral Ko Aago,1978,"Comedy, Drama, Mystery",Pratap Subha,"Basundhara Bhusal, Susmita Dhakal, Tanka Sharma",/title/tt0888045/,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmpvFjRG1PTOy7DPBXicpPAmf2ok0wMnagtdZluAuksX4RTtxDBGfqMjjbs-c&s
7,Sindoor,1980,Drama,Prakash Thapa,"Menakshi Anand, Biswa Basnet, Basundhara Bhusal, Gopal Raj Mainali",/title/tt8212526/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9wvoKmXZ7_Hg1Uue6H2keiuV636dfJK0C8uBe9pGgeqEQKWdtn6J0WBZdLQ&s
8,Raiders of the Lost Ark,1981,"Action, Adventure",Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies",/title/tt0082971/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSADiaqnrBt1ZwP4IUqcrHffUwf3tiLxqj2VzLE8PO9BAujY73LexfcuTMJgHI&s
9,Bansuri,1981,"Drama, Romance",Tulsi Ghimire,"Rakesh Pandey, Banni Pradhan, Rajani Sharma, Rajni Sharma",/title/tt8524684/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRVTMtoj29hO9ofYqRszN8rDjv-J19125JztupaR1rLZJEVQGD84ZqkMlfXwg&s
10,Jeevan Rekha,1982,Drama,Prakash Thapa,"Shiv Shrestha, Menakshi Anand, Arjun Jung Shahi, Shanti Maskey",/title/tt8500232/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR5cmvRHnv2uLoeNNh_KnD28Njg333Nt3polx0lvyQUaCQIDlr38CHL003zy2A&s
11,Samjhana,1983,Drama,Shambhu Pradhan,"Bhuwan K.C., Tripti Nadakar, Muralidhar",/title/tt7025304/,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTeKz8jdbpDc3aKz2nDw5w9Vv2XYH6alJqpKmZ2UxF-YMzxst9EKDYBvlLdwA&s
13,Basudev,1984,Drama,Neer Bikram Shah,"Harihar Sharma, Neer Bikram Shah, Sakuntala Sharma, Sharmila Malla",/title/tt6565710/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAfCzGGcgM5YRBMZcelPPEX2KmBZ5jF1TFMxLut3qOHPjo55tDxstjSIjDui8&s
14,Kusume Rumal,1985,"Drama, Musical, Romance",Tulsi Ghimire,"Bhuwan K.C., Tripti Nadakar, Udit Narayan, Neer Bikram Shah",/title/tt2007972/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREOvb7oxEXhnsOnYt1poff1DfjpS04MJOUub_04k95TGMAyNE9_UkI8PmbK7A&s
15,Saino,1987,Drama,Ugyen Chhopel,"Bhuwan K.C., Tripti Nadakar, Danny Denzongpa, Muralidhar",/title/tt7054392/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQslxZEn3mTtKR84KpVh3Y6nkFu3VZdp0kAzseswB4ATFxdFhUPKspy1FvSok0&s
16,Anyay,1989,Drama,Tulsi Ghimire,"Prakash Adhikari, Biswa Basnet, Mira Madhuri, Majnalkar",/title/tt8227934/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTttpYve9Rs41fnD0Tyq6zg5i8iopajqSi5865PkAfTY9_CR--fAKQckz826g&s
17,Santan,1989,Drama,Prakash Thapa,"Arjun Jung Shahi, Bhuwan K.C., Gauri Malla, Karishma Manandhar",/title/tt8349140/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRBfpP8L7_IF0saZ42mt8a1Vo1QFvRf50e_TXRYQkZXUL7WhUOUy2MPlPDT-GU&s
18,Cheli Beti,1989,Drama,Yadav Kharel,"Ramchandra Adhikari, Basundhara Bhusal, Gauri Malla, Sharmila Malla",/title/tt0888008/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTaUo6vimKpFjxVdoKZoCpZrW_5NLA_uIYZ5hidmUVNShZCkJHJFbiwOq0sx2Q&s
19,Lahure,1989,"Action, Drama, War",Tulsi Ghimire,"Shrawan Ghimire, Tulsi Ghimire, Tripti Nadakar",/title/tt6577862/,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRInZ5B5oSG87vOBvhWvmuBPjgHeHqLlZ-gVM7-5Kqh4oNlAsZncYozKkklB3A&s
20,Behuli,1989,"Drama, Romance",Shambhu Pradhan,"Prakash Adhikari, Sunita Khadka, Subhadra Adhikari, Jitendra Mahat",/title/tt8505114/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRoMtzPbh77iV-ruh3UVR65u5sQ2cd0YLAL3Zi2iP_649F_nWe9sHqKkVrsIQ&s
21,Maya Preeti,1989,Drama,B.S. Thapa,"Subhadra Adhikari, Gopal Bhutani, Rabindra Khadka, Krishna Malla",/title/tt8934078/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4CMxw39GwFqCG1XIe_3uWFOLrBkndfr_87urt29LvdQiJUTJqFn4Pj0FMfkg&s
22,Bhagya Rekha,1989,"Drama, Romance",Deepak Raimajhi,"Rabindra Khadka, Mausami Malla, Tika Pahari, Siddhicharan Shrestha",/title/tt8517778/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAb1ejdBjEqYJ4-zhXt3lbBvhwf_mc_A0ZjpLPQcCHl8TIUpZ-emP_1nnJiQ&s
