,Year,Film,Cast,Director,Genre
0,1964,Aama (mother),"Shiva Shankar, Bhuvan Chand",Heera Singh Khatri,
1,1966,Maitighar (Birthplace[women's]),"Mala Sinha, C.P. Lohani",B.S. Thapa,
2,1967,"Hijo, Aaja, Bholi (Yesterday, Today, Tomarrow)","Mitra Lal Sharma, Bhuvan Chand",Heera Singh Khatri,
3,1971,Parivartan (Change),Yagya mirth Ghimire,Heera Singh Khatri,
4,1973,Mann Ko Bandh (Heart's stoppage),"Salyan K.C., Sushma Shahi",Prakash Thapa,
5,1977,Kumari (Living goddess),"Biswa Basnet, Chaitya Devi",Prem Bahadur Basnet,
6,1978,Paral Ko Aago (Straw's Flame),"Tanka Sharma, Susmita Dhakal, Basundhara Bhusal (debut)",Pratap Subba,
7,1980,Sindoor (Marriage symbol),"Meenaxi Anand, Biswa Basnet, Neer Shah",Prakash Thapa,
8,1980,Jeevan Rekha (Life Line),"Meenaxi Anand, Shiv Shrestha (debut)",,
9,1981,Bansuri (Flute),"Rakesh Pandey, Rajani Sharma, Tanka Sharma, Biswa Hingmang",Tulsi Ghimire,
10,1982,Juni (Incarnation),"Bhuwan K.C. (debut), Meenakshi Anand",Sarad Palekar,
11,1982,Bachana Chahane Haru (Those Who Want to Live),"Kiran Thakuri, Biswa Hingmang",Pratap Subba,
12,1982,Badalindo Aakash (The Changing Sky),"Shiv Shrestha, Sushma Shahi, Neer Shah",Laxminath Sharma,
13,1983,Samjhana (Memories),"Bhuwan K.C., Trupti Totlani Narodkar (debut), Muralidhar",Shambhu Pradhan,
14,1984,Kanchhi (Little Sister),"Shiv Shrestha, Sharmila Malla (debut), Sushma Shahi, Mausami Malla (debut)",B.S. Thapa,
15,1984,Adarsha Nari (Exemplary Woman),"Bijaya Lama, Ujwal Ghimire, Amsumala Shahi, Punam Lama",Hem Lama,
16,1985,"Ke Ghar Ke Dera (What's Home, What's Tenancy)","Puran Joshi (debut), Sharmila Malla, Madan Krishna Shrestha, Hari Bansha Acharya, Kristi Mainali (debut)",Pradeep Rimal,
17,1985,Kusume Rumal (Scarlet Handkerchief),"Bhuwan K.C., Trupti Totlani Narodkar, Udit Narayan (debut)",Tulsi Ghimire,
18,1985,"Basudev [
lord Vishnu]","Krishna Malla (debut), Sharmila Malla, Madan Krishna Shrestha, Hari Bansha Acharya, Neer Shah, Harihar Sharma",Neer Shah,
19,1986,Biswas (Faith),"Shiv Shrestha, Roshi Karki, Rajshri Chhetri",Chetan Karki,
20,1987,Saino (Relation),"Bhuwan K.C., Trupti Totlani Narodkar, Danny Denzongpa, Raksha Mark",Ugyen Chopel,
21,1988,Anyay (Injustice),"Meera Madhuri (debut), Biswa Basnet, Prakash Adhikari (debut)",Tulsi Ghimire,
22,1988,Jhodaa (Pair),"Banni Sharma, Tanka Sharma",Barun Kawasi,
23,1988,Maya Preeti (Love and Affection),"Ravindra Khadka, Sharmila Malla, Krishna Malla",Chetan Karki,
24,1988,Sahas (Courage),Shiv Shrestha,Giri Raj Lamichhane,
25,1989,Behuli (The Bride),"Sunita Khadka, Prakash Adhikari",Shambhu Pradhan,
26,1989,Bhagya Rekha (Line of Fate),"Rabindra Khadka, Mausami Malla",Deepak Rayamajhi,
27,1989,Santaan (Offspring),"Bhuwan K.C., Arjun Jung Shahi (debut), Ujwal Ghimire, Karishma Manandhar (debut), Gauri Malla (debut), Shanti Maskey, Kristi Mainali",Prakash Thapa,
28,1989,Lahure (The Armyman),"Shrawan Ghimire, Trupti Totlanii Narodkar",Tulsi Ghimire,
29,1990,Mayalu (Beloved),"Bhuwan K.C., Karishma Manandhar",Giri Raj Lamichhane,
30,1990,Pariwar (Family),"Bhuwan K.C., Ashok Sharma, Kristi K.C. (Mainali), Mithila Sharma, Nir Shaha, Madan Das Shrestha, Sushila Rayamajhi",Raj Kumar Sharma,
31,1990,Cheli Beti (Girls/Daughters),"Gauri Malla, Sharmila Malla, Arjun Jung Sahi, Mithila Sharma",Yadav Kharel,
32,1990,Pheri Bhetaula (We Shall Meet Again),"Manisha Koirala, Prakash Adhikari",Phurpa Chiring Gurung,
33,1990,Tilhari (symbol of marriage),"Bhuwan K.C., Mausami Malla, Kristi Mainali",Giri Raj Lamichhane,
34,1991,Bijaya Parajaya (Victory-Defeat),"Bhuwan K.C., Krsihna Malla, Brazesh Khanal, Sharmila Malla, Saroj Khanal, Rupa Rana, Teeka Pahari",Rajendra Shalabh,
35,1991,Chino (Souvenir),"Bhuwan K.C., Shiv Shrestha, Kristi Mainali, Sharmila Malla, Subhadra Adhikari, Sinaura Mistry, Anoop Malla and Sushila Raymajhi",Tulsi Ghimire,
36,1991,Chot (Wound),"Saroj Khanal, Rupa Rana, Gauri Malla",Subodh Kumar Pokharel,
37,1991,Lobhi Paapi (Greedy Sinner),"Gauri Malla, Madan Krishna Shrestha, Hari Bansha Acharya",Yadav Kharel,
38,1991,The Friend,,Sanjay Pradhan,
39,1991,Kanyadan (Bride give away to Groom),"Gauri Malla, Bhuwan K.C.",Prakash,
40,1991,Sampati (Property),"Mausami Malla, Arjun Shrestha",Shambhu Pradhan,
41,1991,Trishna (Thirst),"Bhuwan K.C., Rupa Rana, Muralidhar",Ugyen Chopel,
42,1991,Yug Dekhi Yug Samma (From Era to Era),"Rajesh Hamal (debut), Kristi Mainali",Deepak Rayamajhi,
43,1992,Arpan (Offering),"Arjun Shrestha, Bhuwan K.C., Kristi Mainali",Rajkumar Sharma,
44,1992,Arunima [Girl's Name],"Saroj Khanal, Kristi Mainali, Karishma Manandhar, Arjun Shrestha, Mausami Malla",Mahendra Bhakta Shrestha,
45,1992,Chokho Maaya (Pure Love),"Saroj Khanal, Kristi Mainali, Bijaya Lama",Raj Bikram Shah,
46,1992,Dui Thopa Aansoo (Two Drops of Tears),"Bhuwan K.C., Shrawan Ghimire, Anuradha Sawant",Tulsi Ghimire,
47,1992,Kastoori (Musk),Karishma Manandhar,Kiran Pradhan,
