,Year,Film,Artist,Director,Producer,Music composer
0,,,,,,
1,1964,Aama (mother),"Shiva Shankar, Bhuvan Chand",Heera Singh Khatri,Information Dept. Govt of Nepal,"
"
2,1966,Maitighar (Birthplace[women's]),"Mala Sinha, C.P. Lohani",B.S. Thapa,Sumonanjali Films Pvt. Ltd.,"Jaidev
"
3,1967,"Hijo, Aaja, Bholi (Yesterday, Today, Tomarrow)","Mitra Lal Sharma, Bhuvan Chand",Heera Singh Khatri,Information Dept. Govt of Nepal,"
"
4,1971,"Parivartan (Change) 
","Yagya mirth Ghimire
",Heera Singh Khatri,Information Dept. Govt of Nepal,"
"
5,1973,Mann Ko Bandh (Heart's stoppage),"Salyan K.C., Sushma Shahi",Prakash Thapa,Royal Nepal Film Corporation,"Nati Kaji, Shiva Shankar
"
6,1977,Kumari (Living goddess),"Biswa Basnet, Chaitya Devi",Prem Bahadur Basnet,Royal Nepal Film Corporation,"
"
7,1978,Paral Ko Aago (Straw's Flame),"Tanka Sharma, Susmita Dhakal, Basundhara Bhusal (debut)",Pratap Subba,Cineroma,"Shanti Thatal
"
8,,,,,,
9,1980,Sindoor (Marriage symbol),"Meenaxi Anand, Biswa Basnet, Neer Shah",Prakash Thapa,Royal Nepal Film Corporation,"
"
10,1980,Jeevan Rekha (Life Line),"Meenaxi Anand, Shiv Shrestha (debut)",,,"
"
11,1981,Bansuri (Flute),"Rakesh Pandey, Rajani Sharma, Tanka Sharma, Biswa Hingmang",Tulsi Ghimire,Mohan Kumar Bannerjee,"Ranjit Gazmer
"
12,1982,Juni (Incarnation),"Bhuwan K.C. (debut), Meenakshi Anand",Sarad Palekar,,"
"
13,1982,Bachana Chahane Haru (Those Who Want to Live),"Kiran Thakuri, Biswa Hingmang",Pratap Subba,,"Shanti Thatal
"
14,1982,Badalindo Aakash (The Changing Sky),"Shiv Shrestha, Sushma Shahi, Neer Shah",Laxminath Sharma,Royal Nepal Film Corporation,"Gopal Yonzon
"
15,1983,Samjhana (Memories),"Bhuwan K.C., Trupti Totlani Narodkar (debut), Muralidhar",Shambhu Pradhan,Ishwari Films,"Ranjit Gazmer
"
16,1984,Kanchhi (Little Sister),"Shiv Shrestha, Sharmila Malla (debut), Sushma Shahi, Mausami Malla (debut)",B.S. Thapa,Bhagawan Das Shrestha,"Gopal Yonzon
"
17,1984,Adarsha Nari (Exemplary Woman),"Bijaya Lama, Ujwal Ghimire, Amsumala Shahi, Punam Lama",Hem Lama,Hem Lama,"Madan Pariyar
"
18,1985,"Ke Ghar Ke Dera (What's Home, What's Tenancy)","Puran Joshi (debut), Sharmila Malla, Madan Krishna Shrestha, Hari Bansha Acharya, Kristi Mainali (debut)",Pradeep Rimal,,"
"
19,1985,Kusume Rumal (Scarlet Handkerchief),"Bhuwan K.C., Trupti Totlani Narodkar, Udit Narayan (debut)",Tulsi Ghimire,Sayapatri Films,"Ranjit Gazmer
"
20,1985,"Basudev [
lord Vishnu]

","Krishna Malla (debut), Sharmila Malla, Madan Krishna Shrestha, Hari Bansha Acharya, Neer Shah, Harihar Sharma",Neer Shah,,"Ranjit Gazmer
"
21,1986,Biswas (Faith),"Shiv Shrestha, Roshi Karki, Rajshri Chhetri",Chetan Karki,Royal Nepal Film Corporation,"Gopal Yonzon
"
22,1987,Saino (Relation),"Bhuwan K.C., Trupti Totlani Narodkar, Danny Denzongpa, Raksha Mark",Ugyen Chopel,Triple Jem Movies,"Ranjit Gazmer
"
23,1988,Anyay (Injustice),"Meera Madhuri (debut), Biswa Basnet, Prakash Adhikari (debut)",Tulsi Ghimire,Sagarmatha Movietone,"Ranjit Gazmer
"
24,1988,Jhodaa (Pair),"Banni Sharma, Tanka Sharma",Barun Kawasi,Kusulata Interprises,"Ranjit Gazmer
"
25,1988,Maya Preeti (Love and Affection),"Ravindra Khadka, Sharmila Malla, Krishna Malla",Chetan Karki,Shanti Films,"Gopal Yonzon
"
26,1988,Sahas (Courage),Shiv Shrestha,Giri Raj Lamichhane,Trishakti Films,"
"
27,1989,Behuli (The Bride),"Sunita Khadka, Prakash Adhikari",Shambhu Pradhan,Ishwari Films,"Ranjit Gazmer
"
28,1989,Bhagya Rekha (Line of Fate),"Rabindra Khadka, Mausami Malla",Deepak Rayamajhi,Surya Binayek Films,"Norbu Tshering
"
29,1989,Santaan (Offspring),"Bhuwan K.C., Arjun Jung Shahi (debut), Ujwal Ghimire, Karishma Manandhar (debut), Gauri Malla (debut), Shanti Maskey, Kristi Mainali",Prakash Thapa,"Om Productions, Royal Nepal Film Corporation","Manohari Singh
"
30,1989,Lahure (The Armyman),"Shrawan Ghimire, Trupti Totlanii Narodkar",Tulsi Ghimire,Kanchanjungha Films,"Ranjit Gazmer
"
31,,,,,,
32,1990,Mayalu (Beloved),"Bhuwan K.C., Karishma Manandhar",Giri Raj Lamichhane,,"
"
33,1990,Pariwar (Family),"Bhuwan K.C., Ashok Sharma, Kristi K.C. (Mainali), Mithila Sharma, Nir Shaha, Madan Das Shrestha, Sushila Rayamajhi",Raj Kumar Sharma,Mrs. Sumitra Poudyal,Jeevan Adhikari
34,1990,Cheli Beti (Girls/Daughters),"Gauri Malla, Sharmila Malla, Arjun Jung Sahi, Mithila Sharma",Yadav Kharel,Udaya Films,Sambhujeet Baskota
35,1990,Pheri Bhetaula (We Shall Meet Again),"Manisha Koirala, Prakash Adhikari",Phurpa Chiring Gurung,Himchuli Films,Ranjit Gazmer
36,1990,Tilhari (symbol of marriage),"Bhuwan K.C., Mausami Malla, Kristi Mainali",Giri Raj Lamichhane,,Sayapatri Films
37,1991,Bijaya Parajaya (Victory-Defeat),"Bhuwan K.C., Krsihna Malla, Brazesh Khanal, Sharmila Malla, Saroj Khanal, Rupa Rana, Teeka Pahari",Rajendra Shalabh,,
38,1991,Chino (Souvenir),"Bhuwan K.C., Shiv Shrestha, Kristi Mainali, Sharmila Malla, Subhadra Adhikari, Sinaura Mistry, Anoop Malla and Sushila Raymajhi",Tulsi Ghimire,Om Trinetra Production,Ranjit Gazmer
39,1991,Chot (Wound),"Saroj Khanal, Rupa Rana, Gauri Malla",Subodh Kumar Pokharel,,
40,1991,Lobhi Paapi (Greedy Sinner),"Gauri Malla, Madan Krishna Shrestha, Hari Bansha Acharya",Yadav Kharel,Creative Movies,Sambhujeet Baskota
41,1991,The Friend,,Sanjay Pradhan,,
42,1991,Kanyadan (Bride give away to Groom),"Gauri Malla, Bhuwan K.C.",Prakash,Samjhana Films,Manohari Singh
43,1991,Sampati (Property),"Mausami Malla, Arjun Shrestha",Shambhu Pradhan,Ishwari Films,Ranjit Gazmer
44,1991,Trishna (Thirst),"Bhuwan K.C., Rupa Rana, Muralidhar",Ugyen Chopel,Aarati Films,Ranjit Gazmer
45,1991,Yug Dekhi Yug Samma (From Era to Era),"Rajesh Hamal (debut), Kristi Mainali",Deepak Rayamajhi,Kashi Prasad Shrestha,Sambhujeet Baskota
46,1992,Arpan (Offering),"Arjun Shrestha, Bhuwan K.C., Kristi Mainali",Rajkumar Sharma,Sayapatri Films,Bhupendra Rayamajhi
47,1992,Arunima [Girl's Name],"Saroj Khanal, Kristi Mainali, Karishma Manandhar, Arjun Shrestha, Mausami Malla",Mahendra Bhakta Shrestha,,
48,1992,Chokho Maaya (Pure Love),"Saroj Khanal, Kristi Mainali, Bijaya Lama",Raj Bikram Shah,Sagun Films,Shakti Ballav
49,1992,Dui Thopa Aansoo (Two Drops of Tears),"Bhuwan K.C., Shrawan Ghimire, Anuradha Sawant",Tulsi Ghimire,,Ranjit Gazmer
